"Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_KDS_MODUL","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_NAME","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_DESCRIPTION","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_EXAMPLE","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_FHIR_ELEMENT","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_PATH_IN_SOURCE_SYSTEM_VNA","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_IS_AVAILABLE_IN_VNA","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_IS_AVAILABLE_IN_DIZ","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_AVAILABLE_SINCE","Reference","URL"
"Diagnose","Seitenlokalisation","Seitenlokalisation in der ICD-10-GM-Codierung (optional)","R | L | B","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Seitenlokalisation.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Seitenlokalisation/"
"Diagnose","Mehrfachcodierungskennzeichen","Kennzeichen für Kreuz-Stern oder Ausrufezeichendiagnose (nicht immer verfügbar)","* | ! | †","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Mehrfachcodierungs_Kennzeichen.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Mehrfachcodierungs_Kennzeichen/"
"Diagnose","Code-Version","Gültigkeit Jahr des Codes","2021","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Code_Version.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Code_Version/"
"Fall","Entlassdatum","Ende des Falls","2024-05-12T11:31:01+02:00","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Entlassdatum.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Entlassdatum/"
"Fall","Fallnummer","ORBIS Fallnummer oder pseudonymisierte bzw. anonymisierte Fallnummer","12345678","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fallnummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fallnummer/"
"Fall","Fallart","Art der Aufnahme (z. B. ambulant, stationären, vorstationär, ...)","AMB | IMP | vorstationär","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fallart.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fallart/"
"Fall","Fachabteilung","Fachabteilungskürzel","NEU","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fachabteilung.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fachabteilung/"
"Fall","Fachabteilungsschlüssel","Fachabteilungsschlüssel nach §301 Abs. 3 SGB V.","0800","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fachabteilungsschlüssel.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fachabteilungsschl%C3%BCssel/"
"Fall","Aufnahmeanlass","Anlass des Krankenhausaufenthalts (z. B. Einweisung durch Arzt, Notfall, Geburt, ...)","E","emptyvalue","emptyvalue","1","1","für stationäre Fälle ab 2002 und ambulante Fälle: ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Aufnahmeanlass.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Aufnahmeanlass/"
"Fall","Entlassgrund","Entlassgrund/Verlegungsgrund nach § 301 Abs. 3 SGB V.","011","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Entlassgrund.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Entlassgrund/"
"Fall"," Aufnahmegrund 1. und 2. Stelle","Aufnahmegrund nach § 301 Abs. 3 SGB V. (z. B. 01 = Krankenhausbehandlung, vollstationär, 06 = Geburt) nur für stationäre Fälle","01","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Aufnahmegrund_erste_und_zweite_Stelle.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Aufnahmegrund_erste_und_zweite_Stelle/"
"Fall","Fallstatus","Den aktuellen Zustand des Patietenkontaktes","finished | in-progress | cancelled","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fallstatus.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fallstatus/"
"Fall"," Aufnahmegrund 3. Stelle","Aufnahmegrund nach § 301 Abs. 3 SGB V. (z. B. 0 = Anderes, 2 = Zuständigkeitswechsel des Kostenträgers) nur für stationäre Fälle","2","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Aufnahmegrund_dritte_Stelle.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Aufnahmegrund_dritte_Stelle/"
"Fall"," Aufnahmegrund 4. Stelle","Aufnahmegrund nach § 301 Abs. 3 SGB V. (z. B. 1 = Normalfall, 7 = Notfall) nur für stationäre Fälle","1","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Aufnahmegrund_vierte_Stelle.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Aufnahmegrund_vierte_Stelle/"
"Fall","Aufnahmedatum","Beginn des Falls","2023-05-12T11:31:01+02:00","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Aufnahmedatum.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Aufnahmedatum/"
"Fall","Patientenstandort Bettnummer","Nummer des Betts für stationäre Patienten","IDIST142_14_2","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Patientenstandort_Bettnummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Patientenstandort_Bettnummer/"
"Fall","Patientenstandort Zimmernummer","Nummer des Zimmers für stationäre Patienten","IDIST142_14","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Patientenstandort_Zimmernummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Patientenstandort_Zimmernummer/"
"Fall","Patientenstandort Station","Nummer der Station für stationäre Patienten ","IDIST142","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Patientenstandort_Station.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Patientenstandort_Station/"
"Fall","PID","ORBIS Patientenidentifikationsnummer (PID) oder pseudonymisierte bzw. anonymisierte PID","599999","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Fall_Patientenidentifikationsnummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Fall_Patientenidentifikationsnummer/"
"Person","Reihenfolge bei Mehrlingsgeburt","Person war Teil einer Mehrlingsgeburt  (2 = Person war das zweite Kind einer Mehrlingsgeburt)","2","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_KennzeichenMehrlingsgeburt.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_KennzeichenMehrlingsgeburt/"
"Person","PID","ORBIS Patientenidentifikationsnummer (PID) oder pseudonymisierte bzw. anonymisierte PID","599999","identifier.value[system:""https://fhir.diz.uni-marburg.de/sid/patient-id""]","resource.identifier.value[system:""https://fhir.diz.uni-marburg.de/sid/patient-id""]","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Patientenidentifikationsnummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Patientenidentifikationsnummer/"
"Person","Geschlecht","Geschlecht der Person (male = männlich, female = weiblich, D = divers, X = unbestimmt)","male | female | D | X","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Geschlecht.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Geschlecht/"
"Person","Akademischer Grad","Akademische Grade","Prof. Dr.","emptyvalue","emptyvalue","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_AkademischerGrad.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_AkademischerGrad/"
"Person","Namenszusatz","Titel aller Art und die Beinamen","Baron Freiherrr von | MdL","emptyvalue","emptyvalue","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Namenszusatz.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Namenszusatz/"
"Person","Geburtsgewicht","Geburtsgewicht (nur für Neugeborene)","3500","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Geburtsgewicht.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Geburtsgewicht/"
"Person","Krankenkassenidentifikationsnummer","Identifikationnummer der Krankenkasse","473658932","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_Krankenkassenidentifikationsnummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Krankenkassenidentifikationsnummer/"
"Person","Versicherungsnummer GKV","Versicherungsnummer der gesetzlichen Krankenversicherung","U8476933692","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_VersicherungsnummerGKV.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_VersicherungsnummerGKV/"
"Person","Todeszeitpunkt","Zeitpunkt des Todes, wenn der Patient im Krankenhaus gestorben ist","2023-11-23 | 2023-11-23T14:36:00+01:00","emptyvalue","emptyvalue","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Todeszeitpunkt.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Todeszeitpunkt/"
"Person","PLZ","Postleitzahl (PLZ) des Wohnorts der Person","35037","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_PLZ.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_PLZ/"
"Person","Köpergröße","Köpergröße beim Geburt","54","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Köpergröße.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/K%C3%B6pergr%C3%B6%C3%9Fe/"
"Person","Kopfumfang","Kopfumfang beim Geburt","51","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Kopfumfang.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Kopfumfang/"
"Person","Versicherungsnummer PKV","Versicherungsnummer der privaten Krankenversicherung","L54895832865","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_VersicherungsnummerPKV.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_VersicherungsnummerPKV/"
"Person","Versicherungsart","Versicherungsart der Person (GKV = Gesetzlich Krankenversichert | PKV = Privat Krankenversichert)","GKV | PKV","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_Versicherungsart.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Versicherungsart/"
"Person","Land","Land des Wohnorts","DE","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_Land.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Land/"
"Person","Straße","Straße und Hausnummer der Person","Universitätsstr. 4","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_Strasse.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Strasse/"
"Person","Wohnort","Wohnort der Person","Marburg","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_Wohnort.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Wohnort/"
"Person","Nachname","Familienname der Person","Müller","name.family","resource.name.family","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Nachname.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Nachname/"
"Person","Geburtsdatum","Geburtsdatum der Person | pseudonymisiertes Geburtdatum","1982-11-28 | 1982","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Geburtsdatum.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Geburtsdatum/"
"Person","Geburtsname","Mädchenname","Maier","emptyvalue","emptyvalue","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Geburtsname.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Geburtsname/"
"Person","Vornamen","Alle Vornamen einer Person","Anna-Lena Maria","emptyvalue","emptyvalue","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Vornamen.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Vornamen/"
