"Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_KDS_MODUL","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_NAME","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_DESCRIPTION","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_ATTRIBUT_EXAMPLE","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_FHIR_ELEMENT","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_PATH_IN_SOURCE_SYSTEM_VNA","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_IS_AVAILABLE_IN_VNA","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_IS_AVAILABLE_IN_DIZ","Main.Metadatenrepository.KDS-Module.Code.KDS-ModuleClass_AVAILABLE_SINCE","Reference","URL"
"Fall"," Aufnahmegrund_vierte_Stelle","Aufnahmegrund nach nach § 301 Abs. 3 SGB V. (z.B. 1 = Normalfall, 7= Notfall ) nur für stationäre Fall","1","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Aufnahmegrund_vierte_Stelle.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Aufnahmegrund_vierte_Stelle/"
"Fall","Aufnahmedatum","Beginn des Falls","2023-05-12T11:31:01+02:00","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Aufnahmedatum.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Aufnahmedatum/"
"Fall","Entlassdatum","Ende des Falls","2024-05-12T11:31:01+02:00","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Entlassdatum.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Entlassdatum/"
"Fall","Patientenstandort_Bettnummer","Nummer des Betts für stationäre Patienten","IDIST142_14_2","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Patientenstandort_Bettnummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Patientenstandort_Bettnummer/"
"Fall","Patientenstandort_Zimmernummer","Nummer des Zimmers für stationäre Patienten","IDIST142_14","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Patientenstandort_Zimmernummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Patientenstandort_Zimmernummer/"
"Fall","Patientenstandort_Station","Nummer der Station für stationär Patienten ","IDIST142","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Patientenstandort_Station.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Patientenstandort_Station/"
"Person","Todeszeitpunkt","Zeitpunkt des Todes, wenn der Patient im Krankenhaus gestorben ist","2023-11-23 | 2023-11-23T14:36:00+01:00","emptyvalue","emptyvalue","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Todeszeitpunkt.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Todeszeitpunkt/"
"Person","Postleitzahl (PLZ)","Postleitzahl des Wohnorts der Person","35037","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_PLZ.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_PLZ/"
"Person","Geschlecht","Geschlecht der Person (male = männlich, female = weiblich, D = divers, X = unbestimmt)","male | female | D | X","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Geschlecht.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Geschlecht/"
"Person","Köpergröße","Köpergröße beim Geburt","54","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Köpergröße.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/K%C3%B6pergr%C3%B6%C3%9Fe/"
"Person","Kopfumfang","Kopfumfang beim Geburt","51","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Kopfumfang.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Kopfumfang/"
"Person","Geburtsgewicht","Geburtsgewicht (nur für Neugeborene)","3500","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Geburtsgewicht.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Geburtsgewicht/"
"Person","Nachname","Familienname der Person","Müller","name.family","resource.name.family","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Nachname.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Nachname/"
"Person","Namenszusatz","Titel aller Art und die Beinamen","Baron Freiherrr von | MdL","emptyvalue","emptyvalue","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Namenszusatz.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Namenszusatz/"
"Person","Akademischer Grad","Akademische Grade","Prof. Dr.","emptyvalue","emptyvalue","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_AkademischerGrad.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_AkademischerGrad/"
"Person","Patientenidentifikationsnummer (PID)","ORBIS PID oder pseudonymisierte bzw. anonymisierte PID","599999","identifier.value[system:""https://fhir.diz.uni-marburg.de/sid/patient-id""]","resource.identifier.value[system:""https://fhir.diz.uni-marburg.de/sid/patient-id""]","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Patientenidentifikationsnummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Patientenidentifikationsnummer/"
"Person","Reihenfolge bei Mehrlingsgeburt","Person war Teil einer Mehrlingsgeburt  (2 = Person war das zweite Kind einer Mehrlingsgeburt)","2","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_KennzeichenMehrlingsgeburt.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_KennzeichenMehrlingsgeburt/"
"Person","Vornamen","Alle Vornamen einer Person","Anna-Lena Maria","emptyvalue","emptyvalue","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Vornamen.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Vornamen/"
"Person","Geburtsname","Mädchenname / Geburtsname","Maier","emptyvalue","emptyvalue","1","0","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Geburtsname.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Geburtsname/"
"Person","Geburtsdatum","Geburtsdatum der Person | pseudonymisiertes Geburtdatum","1982-11-28 | 1982","emptyvalue","emptyvalue","1","1","ab 2002","Main.Metadatenrepository.KDS-Module.Person_Geburtsdatum.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Geburtsdatum/"
"Person","Wohnort","Wohnort der Person","Marburg","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_Wohnort.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Wohnort/"
"Person","Straße","Straße und Hausnummer der Person","Universitätsstr. 4","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_Strasse.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Strasse/"
"Person","Land","Land des Wohnorts","DE","emptyvalue","emptyvalue","1","1","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_Land.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Land/"
"Person","Versicherungsart","Versicherungsart der Person (GKV = Gesetzlich Krankenversichert | PKV = Privat Krankenversichert)","GKV | PKV","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_Versicherungsart.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Versicherungsart/"
"Person","Versicherungsnummer PKV","Versicherungsnummer der privaten Krankenversicherung","L54895832865","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_VersicherungsnummerPKV.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_VersicherungsnummerPKV/"
"Person","Krankenkassenidentifikationsnummer","Identifikationnummer der Krankenkasse","473658932","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_Krankenkassenidentifikationsnummer.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_Krankenkassenidentifikationsnummer/"
"Person","Versicherungsnummer GKV","Versicherungsnummer der gesetzlichen Krankenversicherung","U8476933692","emptyvalue","emptyvalue","1","0","ab 19.02.2022","Main.Metadatenrepository.KDS-Module.Person_VersicherungsnummerGKV.WebHome","/wiki/datenintegrationszentrum/view/Main/Metadatenrepository/KDS-Module/Person_VersicherungsnummerGKV/"
