,swl_code,swl_description,swl_unit,belongs_to,swl_metacode,swl_source,code,code_long_name,code_system,version,ucum_unit,validated
84,xDSTD,Dialysat-Sammeldauer,h,emptyvalue,emptyvalue,emptyvalue,47842-0,Collection duration of Dialysis fluid,http://loinc.org,2.70,h,X
85,xDPRO,Protein (Dialysat),g/l,Sondermaterialien,emptyvalue,emptyvalue,5920-4,Protein [Mass/volume] in Dialysis fluid,http://loinc.org,2.34,g/L,X
86,xDpro,Protein (Dialysat),g,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,g,X
87,xDLEU,Leukozyten (Dialysat)(alt),G/L,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,http://loinc.org,emptyvalue,emptyvalue,X
88,xDhs,Harnsäure (Dialysat),mg,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
89,xDALB,Albumin (Dialysat),mg/l,emptyvalue,emptyvalue,emptyvalue,40599-3	,Albumin [Mass/volume] in Peritoneal dialysis fluid,http://loinc.org,2.70,mg/L,X
90,xDalb,Albumin (Dialysat),mg,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
91,xDA2M,a2-Makroglobulin (Dialysat),mg/l,#NV,emptyvalue,emptyvalue,29944-6,Alpha-2-Macroglobulin [Mass/volume] in Specimen,http://loinc.org,2.69,mg/L,X
92,xDa2m,a2-Makroglobulin (Dialysat),mg,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
93,xCMPE,HCMV DNA,Kopien/ ml,Virologie,emptyvalue,emptyvalue,33006-8,Cytomegalovirus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,http://loinc.org,2.70,&#123;copies}/mL,X
94,xAQUA,Aquaporin 4-Autoantikörper [Fremdlabor],Ratio,Sonstige Autoantikörper,emptyvalue,emptyvalue,61430-5,Aquaporin 4 water channel Ab [Units/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.70,[arb'U]/mL,X
95,xACAC,Acetoacetat (PCS) [Fremdlabor],µmol/L,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,umol/L,X
96,x3OHB,3-Hydroxy-Butyrat (PCS) [Fremdlabor],µmol/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,umol/L,X
97,WZYLS,Wachszylinder (Sed.),/GF,Urinsediment,emptyvalue,emptyvalue,88968-3,Waxy casts [#/area] in Urine sediment,http://loinc.org,2.64,/[LPF],X
100,WNV,West-Nile-Virus,emptyvalue,Virologie,emptyvalue,emptyvalue,34892-0	,West Nile virus RNA [Presence] in Specimen by NAA with probe detection,http://loinc.org,2.69,emptyvalue,X
101,w9IgE,"Spitzwegerich (Plantago lanceolata, IgE geg.",kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,6110-1,English plantain IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
102,w8IgE,"Löwenzahn, IgE geg.",kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,6097-0,Dandelion IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
103,w82IgE,"Amarant (Amaranthus Hybridus), IgE geg.",kU/L,Inhalationsallergene IgE,emptyvalue,emptyvalue,7604-2,Common Pigweed IgE Ab [Units/volume] in Serum,http://loinc.org,2.42,k[IU]/L,X
105,w234IgE,"Spitzwegerich (Plantago lanceolata) rPla l1, IgE geg.",kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,64972-3,English plantain recombinant (rPla l) 1 IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
106,w231IgE,"Beifuß (Artemisia vulgaris) nArt v1, IgE geg.",kU/L,Inhalationsallergene IgE,emptyvalue,emptyvalue,63458-4,Mugwort native (nArt v) 1 IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
107,w230IgE,"Ambrosia (Ambrosia artemisiifolia) nAmb a1, IgE geg.",kU/L,Inhalationsallergene IgE,emptyvalue,emptyvalue,65782-5	,Common ragweed native (nAmb a) 1 IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
108,w20IgE,"Brennessel, IgE geg.",kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,6186-1,Nettle IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
109,w207IgE,"Lupine, IgE geg.",kU/L,Inhalationsallergene IgE,emptyvalue,emptyvalue,11180-7,Lupin IgE Ab [Units/volume] in Serum,http://loinc.org,2.73,k[IU]/L,X
110,w204IgE,Sonnenblumen,kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,7726-3,Sunflower Pollen IgE Ab [Units/volume] in Serum,http://loinc.org,2.73,k[IU]/L,X
111,w1IgE,"Ambrosie beifußblättrige, IgE geg.",kU/L,Inhalationsallergene IgE,emptyvalue,emptyvalue,6085-5,Common Ragweed IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
112,w19IgE,"Glaskraut, IgE geg.",kU/l,Inhalationsallergene IgE,emptyvalue,emptyvalue,6200-0,Pellitory (Parietaria officinalis) IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
113,w10IgE,"Gänsefuß, weiß (Chenopodium album), IgE geg.",kU/L,Inhalationsallergene IgE,emptyvalue,emptyvalue,6156-4,Goosefoot IgE Ab [Units/volume] in Serum,http://loinc.org,2.70,k[IU]/L,X
116,VZXS,Varizella Zoster IgG,emptyvalue,Virologie,emptyvalue,emptyvalue,19162-7,Varicella zoster virus IgG Ab [Presence] in Serum,http://loinc.org,2.56,emptyvalue,X
117,VZVN9,Varizella zoster Virus,emptyvalue,Virologie,emptyvalue,emptyvalue,11483-5,Varicella zoster virus DNA [Presence] in Specimen by NAA with probe detection,http://loinc.org,2.73,emptyvalue,X
119,VZP,Varizella Zoster,emptyvalue,Virologie,emptyvalue,emptyvalue,49451-8,Varicella zoster virus DNA [#/volume] (viral load) in Cerebral spinal fluid by NAA with probe detection,http://loinc.org,2.73,&#123;copies}/mL,X
121,VZMSW,Varizella Zoster IgM,Ratio,Virologie,emptyvalue,emptyvalue,29662-4,Varicella zoster virus IgM Ab [Presence] in Serum by Immunoassay,http://loinc.org,2.73,&#123;ratio},X
123,VZMS,Varizella Zoster IgM,emptyvalue,Virologie,emptyvalue,emptyvalue,29662-4,Varicella zoster virus IgM Ab [Presence] in Serum by Immunoassay,http://loinc.org,2.73,emptyvalue,X
126,VZML,Varizella Zoster IgM,emptyvalue,Virologie,emptyvalue,emptyvalue,69930-6,Varicella zoster virus IgM Ab [Presence] in Cerebral spinal fluid by Immunoassay,http://loinc.org,2.68,emptyvalue,X
128,VZI,Varizella Zoster Virus,emptyvalue,Virologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
129,VZGSW,Varizella Zoster IgG,IE/l,Virologie,emptyvalue,emptyvalue,5403-1,Varicella zoster virus IgG Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.73,[IU]/L,X
130,VZGS,Varizella Zoster IgG Quantifizierung,mIU/ml,Virologie,emptyvalue,emptyvalue,8047-3,Varicella zoster virus IgG Ab [Units/volume] in Serum,http://loinc.org,2.69,m[iU]/mL,X
131,VZGL,Varizella Zoster IgG,mIU/ml,Virologie,emptyvalue,emptyvalue,58755-0,Varicella zoster virus IgG Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,http://loinc.org,2.70,m[iU]/mL,X
133,VWA,von-Willebrand-Faktor-Antigen,%,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,%,X
134,VTK,Verteilungskurven,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
136,-VROST,Rotavirus,emptyvalue,Virologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
137,-VPIALVIR,Parainfluenza Virus 1-3 IgA,U/ml,Virologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
138,VORI,Voriconazol [Fremdlabor],mg/l,Antibiotika,emptyvalue,emptyvalue,38370-3,Voriconazole [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,mg/L,X
139,-VNORWA2,Norwalkvirus Genotyp2,emptyvalue,Virologie,emptyvalue,emptyvalue,97532-6,Norovirus genogroup II RNA [Presence] in Specimen by NAA with probe detection,http://loinc.org,2.70,emptyvalue,X
140,-VNORWA1,Norwalkvirus Genotyp1,emptyvalue,Virologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
141,VITK,Vitamin K1 [Fremdlabor],ng/l,Vitamine,emptyvalue,emptyvalue,9622-2,Phytonadione [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ng/L,X
142,VITEFW,Vitamin E [Fremdlabor],mg/l,Vitamine,emptyvalue,emptyvalue,1823-4,Alpha tocopherol [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/L,X
143,VITE,Vitamin E,µg/l,Vitamine,emptyvalue,emptyvalue,1823-4,Alpha tocopherol [Mass/volume] in Serum or Plasma,http://loinc.org,2.69,ug/L,X
144,VITD,1-25-OH-Vit-D3-Cholecalciferol,ng/l,Vitamine,emptyvalue,emptyvalue,1990-1,Cholecalciferol (Vit D3) [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,ng/L,X
145,VITC,Vitamin C,mg/l,Vitamine,emptyvalue,emptyvalue,1903-4,Ascorbate [Mass/volume] in Serum or Plasma,http://loinc.org,2.38,mg/L,X
146,VITAFV,Vitamin A [Fremdlabor],mg/l,Vitamine,emptyvalue,emptyvalue,2923-1,Retinol [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/L,X
148,VITAC,Vitamin C [Fremdlabor],mg/l,Vitamine,emptyvalue,emptyvalue,1903-4,Ascorbate [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/L,X
149,VITA,Vitamin A,µg/l,Vitamine,emptyvalue,emptyvalue,2923-1,Retinol [Mass/volume] in Serum or Plasma,http://loinc.org,2.38,ug/L,X
150,VIPFV,Vasoaktives Intestinal Peptid [Fremdlabor],pg/ml,Hormone,emptyvalue,emptyvalue,3125-2,Vasoactive intestinal peptide [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,ng/L,X
151,VIP,VIP (vasoaktives intest. Peptid),pg/ml,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
153,VIGA,Vigabatrin [Fremdlabor],mg/l,Antiepileptika,emptyvalue,emptyvalue,30042-6,Vigabatrin [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/L,X
157,VGKC,"VGKC (Kaliumkanalkomplex), Ak geg. [Fremdlabor]",emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
160,VENUM,Venlafaxin + O-Desmethyl-Venlafaxin [Fremdlabor],µg/l,Psychopharmaka,emptyvalue,emptyvalue,62849-5,Venlafaxine+O-desmethylvenlafaxine [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
162,VENM,O-Desmethyl-Venlafaxin [Fremdlabor],µg/l,Psychopharmaka,emptyvalue,emptyvalue,9628-9,O-desmethylvenlafaxine [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
163,VEN,Venlafaxin [Fremdlabor],µg/l,Psychopharmaka,emptyvalue,emptyvalue,9630-5,Venlafaxine [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
164,VEGFFV,Vascular Endothelial Growth Factor [Fremdlabor],pg/ml,Klinische Chemie,emptyvalue,emptyvalue,34694-0,Vascular endothelial growth factor [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,pg/mL,X
165,VD25,25-Hydroxyvitamin D,µg/l,Vitamine,emptyvalue,emptyvalue,1989-3,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
166,VBAGG,Vollblut-Aggregometrie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
167,VANC2,Vancomycin,mg/l,emptyvalue,emptyvalue,emptyvalue,20578-1,Vancomycin [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/L,X
168,VANC,Vancomycin,mg/l,Antibiotika,emptyvalue,emptyvalue,20578-1,Vancomycin [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/L,X
170,VALP2,Valproinsäure,mg/l,Antiepileptika,emptyvalue,emptyvalue,4086-5,Valproate [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/L,X
171,VALP,Valproinsäure,mg/l,Antiepileptika,emptyvalue,emptyvalue,4086-5,Valproate [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/L,X
172,VADST,Adenovirus,emptyvalue,Virologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
173,VACAG,H. pylori IgG VacA [Fremdlabor],emptyvalue,Bakteriologie,emptyvalue,emptyvalue,60524-6,Helicobacter pylori IgG Ab [Presence] in Serum by Immunoblot,http://loinc.org,2.73,emptyvalue,emptyvalue
174,VACAA,H. pylori IgAVacA [Fremdlabor],emptyvalue,Bakteriologie,emptyvalue,emptyvalue,16125-7,Helicobacter pylori IgA Ab [Presence] in Serum,http://loinc.org,2.73,emptyvalue,emptyvalue
175,V25D,25-OH-Vit-D3-Cholecalciferol,µg/l,Vitamine,emptyvalue,emptyvalue,1989-3,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
179,UZ,Glukose im Urin (Stix),emptyvalue,Urinstreifen,emptyvalue,emptyvalue,25428-4,Glucose [Presence] in Urine by Test strip,http://loinc.org,2.56,emptyvalue,X
180,UXYT,Xylose (Urin),g/5h,emptyvalue,emptyvalue,emptyvalue,12274-7,Xylose [Mass/time] in 5 hour Urine,http://loinc.org,2.70,g/(5.h),X
181,UXYL,Xylose (5h Sammelurin),%,#NV,emptyvalue,emptyvalue,22632-4,Xylose/Xylose dose in 5 hour Urine --post dose xylose PO,http://loinc.org,2.70,%,X
182,UVMAFW,VMA (Urin) [Fremdlabor],mg/g Krea,emptyvalue,emptyvalue,emptyvalue,30571-4,Vanillylmandelate/Creatinine [Mass Ratio] in 24 hour Urine,http://loinc.org,2.73,mg/g&#123;creat},X
183,UVMA,VMA (Urin),µmol/l,Urinchemie,emptyvalue,emptyvalue,26003-4,Vanillylmandelate [Moles/volume] in 24 hour Urine,http://loinc.org,2.34,umol/L,X
184,Uvma,VMA (Urin) Tagesausscheidung,µmol/d,Urinchemie,emptyvalue,emptyvalue,14947-6,Vanillylmandelate [Moles/time] in 24 hour Urine,http://loinc.org,2.40,umol/(24.h),X
185,UVALI,Valin (Urin) [Fremdlabor],µmol/mmolC,Unters. bei Stoffwechselerkrankungen,emptyvalue,emptyvalue,26002-6,Valine/Creatinine [Molar ratio] in 24 hour Urine,http://loinc.org,2.42,umol/mmol&#123;creat},X
